구분,신고(발견),확진,시도,시군구,읍면,리,세부주소,위도,경도,개체구분,위도_clean,경도_clean,geometry,시도_시군구
1296,2021-04-05,2021-04-06,강원도,화천군,화천읍,풍산리,산167,38.122114,127.746697,폐사체,,,POINT (127.746697 38.122114),강원도 화천군
1297,2021-04-05,2021-04-06,경기도,연천군,청산면,대전리,산88,38.00717,127.114965,폐사체,,,POINT (127.114965 38.00717),경기도 연천군
1298,2021-04-05,2021-04-06,강원도,춘천시,서면,방동리,산99,37.90176,127.640733,폐사체,,,POINT (127.640733 37.90176),강원도 춘천시
1299,2021-04-05,2021-04-06,강원도,춘천시,서면,방동리,산99,37.901542,127.640717,폐사체,,,POINT (127.640717 37.901542),강원도 춘천시
1300,2021-04-06,2021-04-07,경기도,연천군,청산면,대전리,산80,38.007886,127.11642,폐사체,,,POINT (127.11642 38.007886),경기도 연천군
1301,2021-04-06,2021-04-07,강원도,춘천시,서면,덕두원리,산163-10,37.893374,127.641298,폐사체,,,POINT (127.641298 37.893374),강원도 춘천시
1302,2021-04-06,2021-04-07,강원도,춘천시,서면,방동리,산93,37.907028,127.640773,폐사체,,,POINT (127.640773 37.907028),강원도 춘천시
1303,2021-04-06,2021-04-07,강원도,춘천시,서면,덕두원리,산163-10,37.893374,127.641298,폐사체,,,POINT (127.641298 37.893374),강원도 춘천시
1304,2021-04-07,2021-04-08,강원도,화천군,사내면,광덕리,산7,38.091928,127.499953,폐사체,,,POINT (127.499953 38.091928),강원도 화천군
1305,2021-04-06,2021-04-08,강원도,춘천시,서면,서상리,산147-1,37.937897,127.620492,폐사체,,,POINT (127.620492 37.937897),강원도 춘천시
1306,2021-04-07,2021-04-08,강원도,춘천시,북산면,추곡리,산259,38.049089,127.86425,폐사체,,,POINT (127.86425 38.049089),강원도 춘천시
1307,2021-04-07,2021-04-08,강원도,영월군,주천면,금마리,산197-1,37.236209,128.260982,폐사체,,,POINT (128.260982 37.236209),강원도 영월군
1308,2021-04-08,2021-04-09,경기도,연천군,신서면,내산리,산52,38.145133,127.128224,폐사체,,,POINT (127.128224 38.145133),경기도 연천군
1309,2021-04-07,2021-04-09,경기도,포천시,이동면,연곡리,산57,38.019773,127.388907,폐사체,,,POINT (127.388907 38.019773),경기도 포천시
1310,2021-04-08,2021-04-09,경기도,포천시,일동면,수입리,산68,37.999549,127.300639,폐사체,,,POINT (127.300639 37.999549),경기도 포천시
1311,2021-04-08,2021-04-09,경기도,가평군,북면,목동리,산32-1,37.931642,127.601703,폐사체,,,POINT (127.601703 37.931642),경기도 가평군
1312,2021-04-08,2021-04-09,강원도,춘천시,서면,서상리,산147-1,37.941003,127.634888,폐사체,,,POINT (127.634888 37.941003),강원도 춘천시
1313,2021-04-09,2021-04-11,경기도,연천군,청산면,대전리,산167-4,37.99251,127.105233,폐사체,,,POINT (127.105233 37.99251),경기도 연천군
1314,2021-04-09,2021-04-11,경기도,연천군,청산면,대전리,산167-4,37.99251,127.105233,폐사체,,,POINT (127.105233 37.99251),경기도 연천군
1315,2021-04-09,2021-04-11,경기도,연천군,청산면,대전리,산167-4,37.99251,127.105233,폐사체,,,POINT (127.105233 37.99251),경기도 연천군
1316,2021-04-09,2021-04-11,경기도,연천군,군남면,옥계리,945-5,38.124915,127.048492,폐사체,,,POINT (127.048492 38.124915),경기도 연천군
1317,2021-04-09,2021-04-11,경기도,연천군,신서면,내산리,산52,38.143368,127.132744,폐사체,,,POINT (127.132744 38.143368),경기도 연천군
1318,2021-04-09,2021-04-11,경기도,가평군,북면,목동리,산38-22,37.926507,127.590773,폐사체,,,POINT (127.590773 37.926507),경기도 가평군
